_id,task,label,difficulty,correct_answer,target_image,presented_images[0],presented_images[1],presented_images[2],presented_images[3],group_order,rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,ppt_id,correct,__v,response.age,response.gender,response.english_first,response.response,participant_response,final_response,correct_response,response.ppt_id_manual
686d6267d749baecad1a7977,production,ant,0,,images/ant.jpg,,,,,CP,363013,,,survey-html-form,61,2.1.0,679293,P1751998399439,true,0,,,,leaf/ant,leaf/ant,ant,ant,
686d626ed749baecad1a7979,production,elbow,1,,images/elbow.jpg,,,,,CP,4981,,,survey-html-form,63,2.1.0,686866,P1751998399439,true,0,,,,elbow,elbow,elbow,elbow,
686d6270d749baecad1a797b,production,turkey,1,,images/turkey.jpg,,,,,CP,1517,,,survey-html-form,64,2.1.0,688386,P1751998399439,true,0,,,,turkey,turkey,turkey,turkey,
686d6272d749baecad1a797d,production,horn,1,,images/horn.jpg,,,,,CP,2029,,,survey-html-form,65,2.1.0,690416,P1751998399439,true,0,,,,horn,horn,horn,horn,
686d627ad749baecad1a797f,production,puddle,1,,images/puddle.jpg,,,,,CP,8263,,,survey-html-form,66,2.1.0,698681,P1751998399439,true,0,,,,puddle,puddle,puddle,puddle,
686d6286d749baecad1a7981,production,scoop,1,,images/scoop.jpg,,,,,CP,12567,,,survey-html-form,67,2.1.0,711250,P1751998399439,true,0,,,,scoop,scoop,scoop,scoop,
686d6288d749baecad1a7983,production,potato,1,,images/potato.jpg,,,,,CP,1524,,,survey-html-form,68,2.1.0,712780,P1751998399439,true,0,,,,potato,potato,potato,potato,
686d6291d749baecad1a7985,production,watermelon,1,,images/watermelon.jpg,,,,,CP,9515,,,survey-html-form,69,2.1.0,722298,P1751998399439,true,0,,,,watermelon,watermelon,watermelon,watermelon,
686d6294d749baecad1a7987,production,marshmallow,1,,images/marshmallow.jpg,,,,,CP,2950,,,survey-html-form,70,2.1.0,725252,P1751998399439,true,0,,,,marshmallow,marshmallow,marshmallow,marshmallow,
686d6298d749baecad1a7989,production,ship,1,,images/ship.jpg,,,,,CP,3430,,,survey-html-form,71,2.1.0,728686,P1751998399439,true,0,,,,ship,ship,ship,ship,
686d629dd749baecad1a798b,production,seagull,1,,images/seagull.jpg,,,,,CP,4924,,,survey-html-form,72,2.1.0,733613,P1751998399439,true,0,,,,seagull,seagull,seagull,seagull,
686d629ed749baecad1a798d,production,pajamas,1,,images/pajamas.jpg,,,,,CP,1679,,,survey-html-form,73,2.1.0,735293,P1751998399439,false,0,,,,shirt,shirt,shirt,pajamas,
686d62a0d749baecad1a798f,production,oatmeal,1,,images/oatmeal.jpg,,,,,CP,2008,,,survey-html-form,74,2.1.0,737304,P1751998399439,true,0,,,,oatmeal,oatmeal,oatmeal,oatmeal,
686d62a2d749baecad1a7991,production,rice,1,,images/rice.jpg,,,,,CP,1163,,,survey-html-form,75,2.1.0,738470,P1751998399439,true,0,,,,rice,rice,rice,rice,
686d62a9d749baecad1a7993,production,turtle,1,,images/turtle.jpg,,,,,CP,7821,,,survey-html-form,76,2.1.0,746294,P1751998399439,true,0,,,,turtle,turtle,turtle,turtle,
686d62b5d749baecad1a7995,production,treasure,2,,images/treasure.jpg,,,,,CP,11507,,,survey-html-form,77,2.1.0,757804,P1751998399439,true,0,,,,treasure,treasure,treasure,treasure,
686d62bbd749baecad1a7997,production,ski,2,,images/ski.jpg,,,,,CP,6462,,,survey-html-form,78,2.1.0,764269,P1751998399439,true,0,,,,ski,ski,ski,ski,
686d62c4d749baecad1a7999,production,candlestick,2,,images/candlestick.jpg,,,,,CP,8480,,,survey-html-form,79,2.1.0,772752,P1751998399439,false,0,,,,a,a,a,candlestick,
686d62c4d749baecad1a799b,production,blender,2,,images/blender.jpg,,,,,CP,237,,,survey-html-form,80,2.1.0,772992,P1751998399439,false,0,,,,a,a,a,blender,
686d62c4d749baecad1a799d,production,snail,2,,images/snail.jpg,,,,,CP,240,,,survey-html-form,81,2.1.0,773234,P1751998399439,false,0,,,,a,a,a,snail,
686d62c5d749baecad1a799f,production,bulldozer,2,,images/bulldozer.jpg,,,,,CP,206,,,survey-html-form,82,2.1.0,773444,P1751998399439,false,0,,,,a,a,a,bulldozer,
686d62c5d749baecad1a79a1,production,trumpet,2,,images/trumpet.jpg,,,,,CP,204,,,survey-html-form,83,2.1.0,773650,P1751998399439,false,0,,,,a,a,a,trumpet,
686d62c6d749baecad1a79a3,production,foam,2,,images/foam.jpg,,,,,CP,990,,,survey-html-form,84,2.1.0,774642,P1751998399439,false,0,,,,a,a,a,foam,
687170fd7ccbcb9157f6f941,,,,,,,,,,,765989,,,survey-html-form,1,2.1.0,772046,P1752264185259,,0,4,female,yes,,,,,P001
6871710d7ccbcb9157f6f943,comprehension,ant,0,3,images/ant.jpg,images/muffin.jpg,images/mint.jpg,images/ant.jpg,images/raspberry.jpg,CP,10224,<h3>Which is the ant?</h3>,2,html-button-response,3,2.1.0,788517,P1752264185259,true,0,,,,,,,,
